powiat,populacja
bolesławiecki,66897
dzierżoniowski,74475
głogowski,65054
górowski,25543
jaworski,37784
kamiennogórski,32042
karkonoski,52139
kłodzki,124441
legnicki,41917
lubański,41618
lubiński,79046
lwówecki,34114
milicki,28130
oleśnicki,81658
oławski,58078
polkowicki,46337
strzeliński,34102
średzki_21800,43759
świdnicki_21900,117091
trzebnicki,67635
wałbrzyski,42412
wołowski,36777
wrocławski,127114
ząbkowicki,48797
zgorzelecki,69008
złotoryjski,32211
Jelenia Góra,59428
Legnica,70001
Wałbrzych,76798
Wrocław,517720
aleksandrowski,48397
brodnicki,58793
bydgoski,93022
chełmiński,37348
golubsko-dobrzyński,33895
grudziądzki,30046
inowrocławski,120636
lipnowski,49054
mogileński,34395
nakielski,64299
radziejowski,31034
rypiński,32937
sępoleński,29890
świecki,72657
toruński,83485
tucholski,36440
wąbrzeski,24959
włocławski,67207
żniński,52756
Bydgoszcz,250154
Grudziądz,65407
Toruń,148959
Włocławek,79677
bialski,84968
biłgorajski,77360
chełmski,59208
hrubieszowski,47816
janowski,34959
krasnostawski,49324
kraśnicki,71570
lubartowski,67626
lubelski,123065
łęczyński,42958
łukowski,79346
opolski_61200,45594
parczewski,26246
puławski,89452
radzyński,44619
rycki,42542
świdnicki_61700,54731
tomaszowski_61800,63371
włodawski,29747
zamojski,82300
Biała Podlaska,43267
Chełm,45820
Lublin,261169
Zamość,46697
gorzowski,54838
krośnieński_80200,41497
międzyrzecki,43726
nowosolski,63379
słubicki,37217
strzelecko-drezdenecki,36616
sulęciński,26311
świebodziński,41699
wschowski,29070
zielonogórski,57620
żagański,57222
żarski,70497
Gorzów Wielkopolski,87551
Zielona Góra,104844
bełchatowski,85240
brzeziński,24231
kutnowski,73234
łaski,39091
łęczycki,39053
łowicki,60751
łódzki wschodni,58486
opoczyński,57499
pabianicki,92429
pajęczański,39664
piotrkowski,71390
poddębicki,32986
radomszczański,86233
rawski,37484
sieradzki,90110
skierniewicki,30208
tomaszowski_101600,87481
wieluński,58637
wieruszowski,33549
zduńskowolski,49538
zgierski,129753
Łódź,506725
Piotrków Trybunalski,54047
Skierniewice,35799
bocheński,82273
brzeski_120200,70982
chrzanowski,94127
dąbrowski,45239
gorlicki,83364
krakowski,223948
limanowski,98944
miechowski,38183
myślenicki,99262
nowosądecki,167588
nowotarski,150136
olkuski,84870
oświęcimski,115730
proszowicki,34013
suski,64806
tarnowski,153719
tatrzański,62423
wadowicki,122612
wielicki,104756
Kraków,625039
Nowy Sącz,61022
Tarnów,82419
białobrzeski,26401
ciechanowski,67803
garwoliński,83786
gostyniński,34543
grodziski_140500,77746
grójecki,83146
kozienicki,47298
legionowski,97759
lipski,26325
łosicki,23553
makowski,34504
miński,128621
mławski,54530
nowodworski_141400,62493
ostrołęcki,68483
ostrowski_141600,55491
otwocki,98978
piaseczyński,152696
płocki,86153
płoński,68883
pruszkowski,132440
przasnyski,38968
przysuski,32482
pułtuski,41313
radomski,116511
siedlecki,62962
sierpecki,38990
sochaczewski,65796
sokołowski,41618
szydłowiecki,30088
warszawski zachodni,98308
węgrowski,51375
wołomiński,196449
wyszkowski,59524
zwoleński,27820
żuromiński,28998
żyrardowski,62211
Ostrołęka,37821
Płock,88065
Radom,152126
Siedlce,57993
Warszawa,2057161
brzeski_160100,67071
głubczycki,34091
kędzierzyńsko-kozielski,68167
kluczborski,48870
krapkowicki,47632
namysłowski,32707
nyski,103037
oleski,49379
opolski_160900,96085
prudnicki,40839
strzelecki,57596
Opole,98159
bieszczadzki,18006
brzozowski,50100
dębicki,102841
jarosławski,91360
jasielski,87044
kolbuszowski,47686
krośnieński_180700,89638
leski,26458
leżajski,52126
lubaczowski,42872
łańcucki,62759
mielecki,102648
niżański,50675
przemyski,56618
przeworski,60665
ropczycko-sędziszowski,56985
rzeszowski,131935
sanocki,70856
stalowowolski,78590
strzyżowski,47775
tarnobrzeski,40693
Krosno,34817
Przemyśl,44228
Rzeszów,154310
Tarnobrzeg,34267
augustowski,44126
białostocki,120741
bielski_200300,42029
grajewski,35703
hajnowski,35375
kolneński,29357
łomżyński,39348
moniecki,30490
sejneński,15430
siemiatycki,34303
sokólski,50838
suwalski,27376
wysokomazowiecki,43293
zambrowski,33277
Białystok,219550
Łomża,44358
Suwałki,50650
bytowski,57980
chojnicki,71815
człuchowski,42117
gdański,92395
kartuski,106646
kościerski,54379
kwidzyński,59978
lęborski,47681
malborski,46159
nowodworski_221000,28278
pucki,69844
słupski,74844
starogardzki,93480
sztumski,30590
tczewski,83193
wejherowski,163626
Gdańsk,377410
Gdynia,187390
Słupsk,64325
Sopot,29360
będziński,114366
bielski_240200,127229
bieruńsko-lędziński,45040
cieszyński,140284
częstochowski,105891
gliwicki,86401
kłobucki,66207
lubliniecki,60054
mikołowski,74863
myszkowski,54706
pszczyński,83377
raciborski,79180
rybnicki,58079
tarnogórski,108062
wodzisławski,116250
zawierciański,91564
żywiecki,117386
Bielsko-Biała,127661
Bytom,109855
Chorzów,74638
Częstochowa,161973
Dąbrowa Górnicza,89282
Gliwice,130592
Jastrzębie-Zdrój,63613
Jaworzno,67912
Katowice,221654
Mysłowice,54007
Piekary Śląskie,40008
Ruda Śląska,99597
Rybnik,99699
Siemianowice Śląskie,48244
Sosnowiec,149287
Świętochłowice,34645
Tychy,92443
Zabrze,119417
Żory,45821
buski,59790
jędrzejowski,66784
kazimierski,27200
kielecki,166253
konecki,62400
opatowski,40459
ostrowiecki,81519
pińczowski,31217
sandomierski,60004
skarżyski,56851
starachowicki,67653
staszowski,55611
włoszczowski,35716
Kielce,146666
bartoszycki,42753
braniewski,29650
działdowski,48276
elbląski,42896
ełcki,64326
giżycki,41986
gołdapski,19258
iławski,69446
kętrzyński,45466
lidzbarski,29992
mrągowski,37250
nidzicki,24249
nowomiejski,32451
olecki,24186
olsztyński,99163
ostródzki,77115
piski,41457
szczycieński,53722
węgorzewski,17026
Elbląg,87935
Olsztyn,129210
chodzieski,35519
czarnkowsko-trzcianecki,64610
gnieźnieński,109746
gostyński,57003
grodziski_300500,38913
jarociński,53667
kaliski,64677
kępiński,42922
kolski,65251
koniński,100786
kościański,61807
krotoszyński,57622
leszczyński,45131
międzychodzki,28033
nowotomyski,57042
obornicki,44583
ostrowski_301700,122490
ostrzeszowski,42312
pilski,99743
pleszewski,47956
poznański,317336
rawicki,45890
słupecki,45616
szamotulski,71597
średzki_302500,46412
śremski,46771
turecki,63551
wągrowiecki,52289
wolsztyński,43483
wrzesiński,59547
złotowski,51313
Kalisz,72497
Konin,53896
Leszno,45909
Poznań,415962
białogardzki,34116
choszczeński,35319
drawski,42044
goleniowski,62594
gryficki,45286
gryfiński,60559
kamieński,37909
kołobrzeski,72192
koszaliński,51736
łobeski,26232
myśliborski,47979
policki,61655
pyrzycki,28789
sławieński,44902
stargardzki,89668
szczecinecki,56381
świdwiński,34627
wałecki,38588
Koszalin,80368
Szczecin,290885
Świnoujście,33752
